,distance,radius
0,inf,117.09732818603516
1,inf,117.23807525634766
2,inf,117.23807525634766
3,inf,117.23807525634766
4,inf,117.23807525634766
5,inf,117.23807525634766
6,inf,117.23807525634766
7,inf,117.23807525634766
8,inf,117.23807525634766
9,inf,117.23807525634766
10,inf,117.23807525634766
11,inf,117.23807525634766
12,inf,117.25032043457031
13,inf,117.25032043457031
14,inf,117.25032043457031
15,inf,117.25032043457031
16,inf,117.14264678955078
17,inf,117.14264678955078
18,inf,117.14264678955078
19,inf,117.14264678955078
20,inf,117.2437973022461
21,inf,117.2437973022461
22,inf,117.21626281738281
23,inf,117.21626281738281
24,inf,117.21626281738281
25,inf,117.21626281738281
26,inf,117.21626281738281
27,inf,117.21626281738281
28,inf,117.17401123046875
29,inf,117.17401123046875
30,inf,117.17401123046875
31,inf,117.17401123046875
32,inf,117.17401123046875
33,inf,117.17401123046875
34,inf,116.99414825439453
35,inf,116.99414825439453
36,inf,116.99414825439453
37,inf,116.99414825439453
38,inf,117.33590698242188
39,inf,117.33590698242188
40,inf,117.33590698242188
41,inf,117.33590698242188
42,inf,117.33590698242188
43,inf,117.33590698242188
44,inf,117.33590698242188
45,inf,117.33590698242188
46,inf,117.33590698242188
47,inf,117.38182067871094
48,inf,117.27155303955078
49,inf,117.27548217773438
50,inf,117.27548217773438
51,inf,117.27548217773438
52,inf,117.27548217773438
53,inf,117.24530029296875
54,inf,117.24530029296875
55,inf,117.24530029296875
56,inf,117.24530029296875
57,inf,117.24530029296875
58,inf,117.24530029296875
59,inf,117.3252944946289
60,inf,117.3252944946289
61,inf,117.3252944946289
62,inf,117.3252944946289
63,inf,117.3252944946289
64,inf,117.3252944946289
65,inf,117.12228393554688
66,inf,117.12228393554688
67,inf,117.12228393554688
68,inf,117.12228393554688
69,inf,117.12228393554688
70,inf,117.12228393554688
71,inf,117.12228393554688
72,inf,117.12228393554688
73,inf,117.12228393554688
74,inf,117.12228393554688
75,inf,117.12228393554688
76,inf,117.12228393554688
77,inf,117.25589752197266
78,inf,117.25589752197266
79,inf,117.25589752197266
80,inf,117.25589752197266
81,inf,117.25589752197266
82,inf,117.25589752197266
83,inf,117.25589752197266
84,inf,117.25589752197266
85,inf,117.25589752197266
86,inf,117.22241973876953
87,inf,117.22241973876953
88,inf,117.22099304199219
89,inf,117.22099304199219
90,inf,117.22099304199219
91,inf,117.22099304199219
92,inf,117.22099304199219
93,inf,117.22099304199219
94,inf,117.22099304199219
95,inf,117.22099304199219
96,inf,117.22099304199219
97,inf,117.40575408935547
98,inf,117.40575408935547
99,inf,117.29179382324219
100,inf,117.29179382324219
101,inf,117.29179382324219
102,inf,117.29179382324219
103,inf,117.29179382324219
